Deco,foto,Cargó OT,Origen equipo,Transferencia?,No recibido,foto (no recibido),Consumir
FZ324060048490,"https://drive.google.com/open?id=1fto4OE0n2L0_AlDbURf3Sg-DLOIdTVqK, https://drive.google.com/open?id=16Q5VEFxhdygxn4nDtAQ7DLlJ3Lb-SrWP, https://drive.google.com/open?id=1KsP-MzlEI-70nP8aSUrLL4hSjMnCiOmz, https://drive.google.com/open?id=1MagqmFJvvvWa9P8VHoTVzQ376I0bJNQ3",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
FZ324060048491,"https://drive.google.com/open?id=1fto4OE0n2L0_AlDbURf3Sg-DLOIdTVqK, https://drive.google.com/open?id=16Q5VEFxhdygxn4nDtAQ7DLlJ3Lb-SrWP, https://drive.google.com/open?id=1KsP-MzlEI-70nP8aSUrLL4hSjMnCiOmz, https://drive.google.com/open?id=1MagqmFJvvvWa9P8VHoTVzQ376I0bJNQ3",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
FZ324060106813,https://drive.google.com/open?id=1tgh8kdpbYn09KaIHyPm6yz8LU9kV7jAf,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106813
FZ324060106853,https://drive.google.com/open?id=1-a7t_7WHXcElQ3AVgZjxR6h-orozCE1X,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106853
FZ324060106851,https://drive.google.com/open?id=1JgFs9JGZXd-J9gWKyj4Z1erzpNvqDyin,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106851
FZ324060106861,https://drive.google.com/open?id=1S2Y2-54GED_STcGXSZuuYOqL4Wm--ilV,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106861
FZ324060107006,"https://drive.google.com/open?id=12lqzLlbAQP7Vj2R_83dPcTc2nJ-qV62r, https://drive.google.com/open?id=12A4PuYOEb0qcTrPfr5n3r8_xRV5xSD1h",51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060107006
FZ324060106892,https://drive.google.com/open?id=1k-zidfYs8TgWLFpmDgqRAf9s50pLDYjX,51ROD637 (Pat. AC774WF) - QPS,51ROD636 (Pat. AD833WB) - QPS,"51ROD636 (Pat. AD833WB) - QPS, 51ROD637 (Pat. AC774WF) - QPS",,,
FZ324060106852,https://drive.google.com/open?id=1NOufTmg7_hVCexDz-aQSkOfgROSj89U_,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106852
HP44H2314059292,https://drive.google.com/open?id=18KIzppCcVgzp6amRhb7cfivbvWgnQWHI,51ROD636 (Pat. AD833WB) - QPS,No,,HP44H2314059292,https://drive.google.com/open?id=18KIzppCcVgzp6amRhb7cfivbvWgnQWHI,
FZ324060106830,https://drive.google.com/open?id=1kgJuMuDYPfIH07lQBYO7lpnd7sSax5vI,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106830
FZ324060106985,https://drive.google.com/open?id=1hy33KZc7-b_iGU3beuIcBBxweiCKbjL_,51ROD637 (Pat. AC774WF) - QPS,No,,FZ324060106985,https://drive.google.com/open?id=1hy33KZc7-b_iGU3beuIcBBxweiCKbjL_,
FZ324060038500,https://drive.google.com/open?id=1Y5JNbpk7N-48pXaVyBsotZwpc-kwQJ-G,51ROD637 (Pat. AC774WF) - QPS,No,,FZ324060038500,https://drive.google.com/open?id=1Y5JNbpk7N-48pXaVyBsotZwpc-kwQJ-G,
FZ324060048536,"https://drive.google.com/open?id=1q57sPWkVVSMlXo6SxTnooNcIer2hLZ8c, https://drive.google.com/open?id=1CfXNiBwAPhqmam93ATUoJB1HZq8poAYY",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,FZ324060048536
FZ324060050202,"https://drive.google.com/open?id=1c6OfoHyHUCi2_KJc6A7q8i3g1-jrS3Ye, https://drive.google.com/open?id=1rBcbNbjvcOzMnuqlZ_55_IRJDF7qsiS1, https://drive.google.com/open?id=1R65pJzbnej8LH_wtFFPfpkl0tcsIKtrl, https://drive.google.com/open?id=1MYyNDoWuNbuQBokbZGbxglPT_Pya-rb9",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
FX324060003957,"https://drive.google.com/open?id=1c6OfoHyHUCi2_KJc6A7q8i3g1-jrS3Ye, https://drive.google.com/open?id=1rBcbNbjvcOzMnuqlZ_55_IRJDF7qsiS1, https://drive.google.com/open?id=1R65pJzbnej8LH_wtFFPfpkl0tcsIKtrl, https://drive.google.com/open?id=1MYyNDoWuNbuQBokbZGbxglPT_Pya-rb9",51ROD465 (Pat. AE835PS) - QPS,No,,FX324060003957,"https://drive.google.com/open?id=1c6OfoHyHUCi2_KJc6A7q8i3g1-jrS3Ye
https://drive.google.com/open?id=1rBcbNbjvcOzMnuqlZ_55_IRJDF7qsiS1
https://drive.google.com/open?id=1R65pJzbnej8LH_wtFFPfpkl0tcsIKtrl
https://drive.google.com/open?id=1MYyNDoWuNbuQBokbZGbxglPT_Pya-rb9",
FZ324060049261,"https://drive.google.com/open?id=1IU7uGXKMCw06rAdwmDOHaVZaMQUOOxNl, https://drive.google.com/open?id=1Xh5jkiODkaFgclz6f7i3r16l8teNaCyB, https://drive.google.com/open?id=1Eqokugjer3I6BUTUCNctMF5dqtuUFphE",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
FZ324060050294,"https://drive.google.com/open?id=1dnzMYzhJfZ2GyXPy0lD4yONo4Z5zlIX3, https://drive.google.com/open?id=1F1kztasq1q4hcIz5zU_pLQnLcCvEtxjM",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
FZ324060050191,https://drive.google.com/open?id=1_g0FXtJWvB2R0q1ONv-GDVIGx1g6WKbI,51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,FZ324060050191
FZ324060049080,"https://drive.google.com/open?id=1Ov-uaXlCVjiRLAp6_Fe-x6c16UEkXa6d, https://drive.google.com/open?id=1PhdDaY4rdyXriq8mS-eTu5jnet69ika9",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,FZ324060049080
FZ324060050181,"https://drive.google.com/open?id=1EFcf9UylprxFSpY8O-_hiJoE1zenorHO, https://drive.google.com/open?id=1mjXcgofDRxe47KtjYjB3A3DmG-uJNh0X, https://drive.google.com/open?id=12fB0Wc0isbuD9wjasZT3-4tvDhS0hghM, https://drive.google.com/open?id=184BgJRj9zmSgg2KS2xGD9bAgJhc96iIS",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,FZ324060050181
FZ324060106830,https://drive.google.com/open?id=1ze68nPFuxeRijYfV4GGvfuMK4wseeV2l,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,FZ324060106830
HP44H23060077808,https://drive.google.com/open?id=1cs9h18aKicSlcoiu3omfwxN4qkNfde0m,51ROD636 (Pat. AD833WB) - QPS,M563 - QPS,"M563 - QPS, 51ROD636 (Pat. AD833WB) - QPS",,,
HP40A21490117334,"https://drive.google.com/open?id=1o-11Oa95ILOPuGPoXyT4smXt8HpksWyK, https://drive.google.com/open?id=1Dbgotg2X2BiUMhwpIkT4bkl5Db-UL4SE",51ROD636 (Pat. AD833WB) - QPS,M563 - QPS,"M563 - QPS, 51ROD636 (Pat. AD833WB) - QPS",,,
HP44H23250208163,"https://drive.google.com/open?id=1An2iSEGfxZtiRWCruGmh9XoYW6A96CKT, https://drive.google.com/open?id=1gDQzE1AIIuUo-UqnxkdXD3vaeQAhUI7C",51ROD636 (Pat. AD833WB) - QPS,M563 - QPS,"M563 - QPS, 51ROD636 (Pat. AD833WB) - QPS",,,
724355029689,"https://drive.google.com/open?id=1iRBHscUUAcvbIK2fHBuswG3TrDOUPs-B, https://drive.google.com/open?id=1RQ4wEKjcdx66ijn0Xyz3g-lpdbcFL-Px",51ROD465 (Pat. AE835PS) - QPS,51ROD465 (Pat. AE835PS) - QPS,,,,724355029689
FZ324060048472,"https://drive.google.com/open?id=1o20dx7glBb6jvnYBpTsICo9w4OonDJk4, https://drive.google.com/open?id=1dzDRvu0MzY724z-y4gsxFHwE6TiYJ6ve",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
HP40A20390005722,"https://drive.google.com/open?id=1ZMUgzqNTRChfu8sfKnnvTz2cEJjO5Ck3, https://drive.google.com/open?id=1b3OdCphJcmIDKViALPqL3qVaG2Q9diFU",51ROD637 (Pat. AC774WF) - QPS,M563 - QPS,"M563 - QPS, 51ROD637 (Pat. AC774WF) - QPS",,,
FZ324060050206,"https://drive.google.com/open?id=1D1xAt36O4u9CgOALgEkR_POQlzeDHvZT, https://drive.google.com/open?id=1ISXykBZGtNg6LJtJ4DzHRcFfqinSyt0f",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,FZ324060050206
HP44H24230373871,https://drive.google.com/open?id=1eQimbu4d-dXuW9hYA_6Hkh7eyH5FacrE,51ROD636 (Pat. AD833WB) - QPS,M563 - QPS,"M563 - QPS, 51ROD636 (Pat. AD833WB) - QPS",,,
