ONT (modem fibra),foto,Cargó OT,Origen equipo,Transferencia?,No recibido,foto (no recibido),Consumir
48575443D0FF47B0,"https://drive.google.com/open?id=1fto4OE0n2L0_AlDbURf3Sg-DLOIdTVqK, https://drive.google.com/open?id=16Q5VEFxhdygxn4nDtAQ7DLlJ3Lb-SrWP, https://drive.google.com/open?id=1KsP-MzlEI-70nP8aSUrLL4hSjMnCiOmz, https://drive.google.com/open?id=1MagqmFJvvvWa9P8VHoTVzQ376I0bJNQ3",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
48575443D0FEAEB0,"https://drive.google.com/open?id=1oYNpFC90xuKEe-qi7FEZVF6nSqZwpL6O, https://drive.google.com/open?id=1SEE1yCoqjlxg2FWAiPDyTvTLGVeAs2hD, https://drive.google.com/open?id=1HHpIP_eym__lC7Recbbm0EHOaaLrhCJs, https://drive.google.com/open?id=1EGBnrH3c3nPpeIubq3VmwG6syPByHMPM",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
48575443D0FB0AB0,"https://drive.google.com/open?id=1B5kz8J2ojMSGXcd1S0cw07kgDxLvh0fc, https://drive.google.com/open?id=1uNkYvXuTVU6CLdgwcD0aEN0LwS_NlTDL, https://drive.google.com/open?id=1DW2Dx5mF-5Wc4uU-CYfp0DfQqT8j7Xw3, https://drive.google.com/open?id=1VvKe8w1G1vtH16djTjxYpTq_DyySZuYd",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
485754439C624DAC,https://drive.google.com/open?id=1tgh8kdpbYn09KaIHyPm6yz8LU9kV7jAf,51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,485754439C624DAC
4857544315747EAB,"https://drive.google.com/open?id=12lqzLlbAQP7Vj2R_83dPcTc2nJ-qV62r, https://drive.google.com/open?id=12A4PuYOEb0qcTrPfr5n3r8_xRV5xSD1h",51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,4857544315747EAB
48575443D0FE1CB0,https://drive.google.com/open?id=1hy33KZc7-b_iGU3beuIcBBxweiCKbjL_,51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FE1CB0
48575443D10204B0,https://drive.google.com/open?id=1Y5JNbpk7N-48pXaVyBsotZwpc-kwQJ-G,51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D10204B0
48575443D0FF22B0,"https://drive.google.com/open?id=1q57sPWkVVSMlXo6SxTnooNcIer2hLZ8c, https://drive.google.com/open?id=1CfXNiBwAPhqmam93ATUoJB1HZq8poAYY",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FF22B0
48575443D0FCADB0,"https://drive.google.com/open?id=1c6OfoHyHUCi2_KJc6A7q8i3g1-jrS3Ye, https://drive.google.com/open?id=1rBcbNbjvcOzMnuqlZ_55_IRJDF7qsiS1, https://drive.google.com/open?id=1R65pJzbnej8LH_wtFFPfpkl0tcsIKtrl, https://drive.google.com/open?id=1MYyNDoWuNbuQBokbZGbxglPT_Pya-rb9",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
48575443D0FEABB0,"https://drive.google.com/open?id=1YY2zuW9o_oF4jk8hZ_mJBkZWoJ3AcOl_, https://drive.google.com/open?id=1FN71f19F-O7BEnUXMG4itroffo95tFYW, https://drive.google.com/open?id=11KBq0gOmEdn5cs8iumXUe-NyDi5KjaYW, https://drive.google.com/open?id=1hJb-af_UbbFRrIHD7ZfbTt2uJaQLc76g",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
48575443D0F9A5B0,"https://drive.google.com/open?id=1IU7uGXKMCw06rAdwmDOHaVZaMQUOOxNl, https://drive.google.com/open?id=1Xh5jkiODkaFgclz6f7i3r16l8teNaCyB, https://drive.google.com/open?id=1Eqokugjer3I6BUTUCNctMF5dqtuUFphE",51ROD465 (Pat. AE835PS) - QPS,M563 - QPS,"M563 - QPS, 51ROD465 (Pat. AE835PS) - QPS",,,
48575443D0FBDCB0,https://drive.google.com/open?id=1_g0FXtJWvB2R0q1ONv-GDVIGx1g6WKbI,51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FBDCB0
48575443D1029EB0,"https://drive.google.com/open?id=1Ov-uaXlCVjiRLAp6_Fe-x6c16UEkXa6d, https://drive.google.com/open?id=1PhdDaY4rdyXriq8mS-eTu5jnet69ika9",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D1029EB0
485754439C5E65AA,"https://drive.google.com/open?id=1spWyMbXY317g90O8bmmJsYsT5729Or8J, https://drive.google.com/open?id=1FaHY8fCOKg4bAKKEJBooZ13MvBa7qmTN",51ROD465 (Pat. AE835PS) - QPS,51ROD465 (Pat. AE835PS) - QPS,,,,485754439C5E65AA
48575443D0FF61B0,"https://drive.google.com/open?id=1EFcf9UylprxFSpY8O-_hiJoE1zenorHO, https://drive.google.com/open?id=1mjXcgofDRxe47KtjYjB3A3DmG-uJNh0X, https://drive.google.com/open?id=12fB0Wc0isbuD9wjasZT3-4tvDhS0hghM, https://drive.google.com/open?id=184BgJRj9zmSgg2KS2xGD9bAgJhc96iIS",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FF61B0
485754430D5D05AD,"https://drive.google.com/open?id=1o-11Oa95ILOPuGPoXyT4smXt8HpksWyK, https://drive.google.com/open?id=1Dbgotg2X2BiUMhwpIkT4bkl5Db-UL4SE",51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,485754430D5D05AD
4857544301B52DAD,"https://drive.google.com/open?id=1m_UQM6QsAYDVDW3x7BNCQCqt2ocv6Itx, https://drive.google.com/open?id=1kvAf4WLEuEk_s5_oMJBNJBW_SS_EoR_s",51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,4857544301B52DAD
48575443F9DBB9AC,"https://drive.google.com/open?id=1An2iSEGfxZtiRWCruGmh9XoYW6A96CKT, https://drive.google.com/open?id=1gDQzE1AIIuUo-UqnxkdXD3vaeQAhUI7C",51ROD636 (Pat. AD833WB) - QPS,51ROD636 (Pat. AD833WB) - QPS,,,,48575443F9DBB9AC
48575443D0FAB5B0,"https://drive.google.com/open?id=1NLK52ANMpxeOKpWcjxfFhukt8vFHi6Vq, https://drive.google.com/open?id=1bLhnSWFFW4BeneO4NtDjIjQivywZ1cMJ, https://drive.google.com/open?id=1UqIWLEM5LlPnonPPCEBxxAK_HTvcRWdb",51ROD465 (Pat. AE835PS) - QPS,51ROD465 (Pat. AE835PS) - QPS,,,,48575443D0FAB5B0
48575443D0FF98B0,"https://drive.google.com/open?id=1HVM71GdAV6Y5ZmScvOS54oFkytyQpdIS, https://drive.google.com/open?id=1HbzFl0Eec1hAO1ykVfVkl7A6Vrgh5bWq",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FF98B0
48575443D0FFFAB0,"https://drive.google.com/open?id=1ZMUgzqNTRChfu8sfKnnvTz2cEJjO5Ck3, https://drive.google.com/open?id=1b3OdCphJcmIDKViALPqL3qVaG2Q9diFU",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FFFAB0
48575443D10092B0,"https://drive.google.com/open?id=1-b-dDLGP1eclUVoL6xZics-MOeP_U5pm, https://drive.google.com/open?id=1lLA3Cc9aC9hYYMTbpnzOP2jOj-VZ05CS",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D10092B0
48575443D0FB7AB0,"https://drive.google.com/open?id=1gOHhZJU50KcE8I5Kh5sqXfINEfqGB6CT, https://drive.google.com/open?id=1fSGmCIBktGX4szYGjbdBIsAsgfOJfkt0, https://drive.google.com/open?id=1UbwaTqAQSXLIE8Dfua6AqEDUDuzy3kJS",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FB7AB0
48575443D0FF61B0,"https://drive.google.com/open?id=1D1xAt36O4u9CgOALgEkR_POQlzeDHvZT, https://drive.google.com/open?id=1ISXykBZGtNg6LJtJ4DzHRcFfqinSyt0f",51ROD637 (Pat. AC774WF) - QPS,51ROD637 (Pat. AC774WF) - QPS,,,,48575443D0FF61B0
48575443D102C2B0,"https://drive.google.com/open?id=1T_2r8zDxFznUQbPuro0KW1g1rYir1XOh, https://drive.google.com/open?id=1-a0LmnSv98gjVOpvEvACuE03nvCqbaz0",51ROD636 (Pat. AD833WB) - QPS,M563 - QPS,"M563 - QPS, 51ROD636 (Pat. AD833WB) - QPS",,,
