sr,name,docstatus,item_code,item_name,warehouse,creation,modified,_user_tags
1,48575443D10092B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.312049,2025-06-25 09:02:35.048131,
2,48575443D0FF61B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.386218,2025-06-25 09:02:35.020228,
3,48575443D10191B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.219095,2025-06-25 09:02:34.992798,
4,48575443D0FCF2B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.699017,2025-06-25 09:02:34.965453,
5,48575443D0FFFAB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.663995,2025-06-25 09:02:34.937786,
6,48575443D0FAA5B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.496222,2025-06-25 09:02:34.910545,
7,48575443D0FB7AB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.573564,2025-06-25 09:02:34.883754,
8,48575443D10109B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.730582,2025-06-25 09:02:34.857168,
9,48575443D0FF98B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.347336,2025-06-25 09:02:34.828635,
10,48575443D0FD12B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,51ROD637 (Pat. AC774WF) - QPS,2025-06-17 16:09:52.616506,2025-06-25 09:02:34.800386,
11,FZ324060050178,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:28:59.899559,2025-06-23 15:57:49.999137,
12,FZ324060049139,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:28:59.853256,2025-06-23 15:57:49.983539,
13,FZ324060048804,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:28:59.876472,2025-06-23 15:57:49.968328,
14,FZ324060048532,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:28:59.829399,2025-06-23 15:57:49.953571,
15,48575443D10039B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.305570,2025-06-23 15:57:49.915614,
16,48575443D0FDB9B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.516714,2025-06-23 15:57:49.901111,
17,48575443D0FD22B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.154901,2025-06-23 15:57:49.886416,
18,48575443D0FC35B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.250817,2025-06-23 15:57:49.871643,
19,48575443D0FA90B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:52.967851,2025-06-23 15:57:49.855718,
20,485754439C1DD6AC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.694271,2025-06-23 15:57:49.802986,
21,485754431AA123AD,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.599960,2025-06-23 15:57:49.787290,
22,485754431585AFAB,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.717453,2025-06-23 15:57:49.766467,
23,FZ324060106914,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.287320,2025-06-23 14:58:08.161336,
24,ALCLB260B80D,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.438658,2025-06-23 14:58:08.117482,
25,48575443BC5B91AC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.086258,2025-06-23 14:58:08.103081,
26,4857544397ABEDAA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.202615,2025-06-23 14:58:08.088480,
27,4857544366FF67AA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.179078,2025-06-23 14:58:08.074203,
28,4857544329A7C9AA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.041703,2025-06-23 14:58:08.060072,
29,485754430D5CE3AD,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.131526,2025-06-23 14:58:08.039357,
30,FZ324060106845,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 14:42:49.969299,2025-06-23 14:45:39.025742,
31,FZ324060106835,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 14:42:49.948030,2025-06-23 14:45:39.011477,
32,FZ324060105953,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 14:42:49.924954,2025-06-23 14:45:38.997865,
33,FZ324060049285,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.145039,2025-06-23 14:45:38.984157,
34,FZ324060022339,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 14:42:49.901953,2025-06-23 14:45:38.970394,
35,FZ324060021284,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.705375,2025-06-23 14:45:38.956444,
36,FZ324060021279,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.752320,2025-06-23 14:45:38.942269,
37,FZ324060021235,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.729182,2025-06-23 14:45:38.928072,
38,FZ324060021234,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.775909,2025-06-23 14:45:38.912892,
39,48575443D100AAB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.653740,2025-06-23 14:45:38.868345,
40,48575443D0FE24B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.472511,2025-06-23 14:45:38.854397,
41,48575443D0FDC8B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.351970,2025-06-23 14:45:38.839995,
42,48575443D0FD61B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:51.145343,2025-06-23 14:45:38.823815,
43,48575443D0FD3DB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.591124,2025-06-23 14:45:38.808555,
44,48575443D0FBDAB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.553318,2025-06-23 14:45:38.793861,
45,48575443D0F9BEB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:51.891878,2025-06-23 14:45:38.777718,
46,ALCLB260FF01,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 14:42:49.857081,2025-06-23 14:45:38.732291,
47,48575443D83D6BAC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.018294,2025-06-23 14:45:38.717297,
48,48575443C22CE1AC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:58.853477,2025-06-23 14:45:38.701789,
